format,dataset,task,task_type,node_encoder,edge_encoder,trans,l_pre,l_mp,l_post,dim_in,hops,pool,dropout,walk,epoch,loss,loss_std,params,time_iter,time_iter_std,mae,mae_std,mse,mse_std,rmse,rmse_std
PyG,ZINC,graph,regression,False,False,True,1,2,1,128,2,sum,0.8,bfs,0,448.972,54.5002,6153.0,1.4415,0.1551,15.7744,0.7458,449.0169,54.5057,21.1508,1.2885
PyG,ZINC,graph,regression,False,False,True,2,2,1,128,2,sum,0.8,bfs,0,223.0894,11.2903,22794.0,1.6436,0.0371,11.6281,0.3483,223.1117,11.2915,14.9321,0.3781
